country_zip;country_code;country;zip;municipality;county;region;address_count
CZ-25063;CZ;Česko;25063;Veleň;Praha-východ;Středočeský kraj;639
CZ-25063;CZ;Česko;25063;Čakovičky;Mělník;Středočeský kraj;279
CZ-25064;CZ;Česko;25064;Hovorčovice;Praha-východ;Středočeský kraj;955
CZ-25064;CZ;Česko;25064;Měšice;Praha-východ;Středočeský kraj;667
CZ-25064;CZ;Česko;25064;Zlonín;Praha-východ;Středočeský kraj;514
CZ-25065;CZ;Česko;25065;Sedlec;Praha-východ;Středočeský kraj;177
CZ-25065;CZ;Česko;25065;Bořanovice;Praha-východ;Středočeský kraj;372
CZ-25065;CZ;Česko;25065;Líbeznice;Praha-východ;Středočeský kraj;1069
CZ-25066;CZ;Česko;25066;Zdiby;Praha-východ;Středočeský kraj;2382
CZ-25067;CZ;Česko;25067;Klecany;Praha-východ;Středočeský kraj;938
CZ-25067;CZ;Česko;25067;Větrušice;Praha-východ;Středočeský kraj;244
CZ-25068;CZ;Česko;25068;Husinec;Praha-východ;Středočeský kraj;599
CZ-25069;CZ;Česko;25069;Vodochody;Praha-východ;Středočeský kraj;319
CZ-25069;CZ;Česko;25069;Klíčany;Praha-východ;Středočeský kraj;151
CZ-25069;CZ;Česko;25069;Máslovice;Praha-východ;Středočeský kraj;162
CZ-25070;CZ;Česko;25070;Veliká Ves;Praha-východ;Středočeský kraj;143
CZ-25070;CZ;Česko;25070;Postřižín;Mělník;Středočeský kraj;705
CZ-25070;CZ;Česko;25070;Panenské Břežany;Praha-východ;Středočeský kraj;293
CZ-25070;CZ;Česko;25070;Odolena Voda;Praha-východ;Středočeský kraj;1090
CZ-25072;CZ;Česko;25072;Kojetice;Mělník;Středočeský kraj;346
CZ-25072;CZ;Česko;25072;Předboj;Praha-východ;Středočeský kraj;553
CZ-25073;CZ;Česko;25073;Jenštejn;Praha-východ;Středočeský kraj;416
CZ-25073;CZ;Česko;25073;Podolanka;Praha-východ;Středočeský kraj;243
CZ-25073;CZ;Česko;25073;Přezletice;Praha-východ;Středočeský kraj;700
CZ-25073;CZ;Česko;25073;Radonice;Praha-východ;Středočeský kraj;408
CZ-25074;CZ;Česko;25074;Radonice;Praha-východ;Středočeský kraj;18
CZ-25075;CZ;Česko;25075;Nový Vestec;Praha-východ;Středočeský kraj;350
CZ-25075;CZ;Česko;25075;Káraný;Praha-východ;Středočeský kraj;1206
CZ-25081;CZ;Česko;25081;Nehvizdy;Praha-východ;Středočeský kraj;1217
CZ-25082;CZ;Česko;25082;Květnice;Praha-východ;Středočeský kraj;181
CZ-25082;CZ;Česko;25082;Úvaly;Praha-východ;Středočeský kraj;2361
CZ-25082;CZ;Česko;25082;Dobročovice;Praha-východ;Středočeský kraj;123
CZ-25082;CZ;Česko;25082;Tuklaty;Kolín;Středočeský kraj;432
CZ-25082;CZ;Česko;25082;Horoušany;Praha-východ;Středočeský kraj;730
CZ-25083;CZ;Česko;25083;Škvorec;Praha-východ;Středočeský kraj;844
CZ-25083;CZ;Česko;25083;Zlatá;Praha-východ;Středočeský kraj;183
CZ-25084;CZ;Česko;25084;Sibřina;Praha-východ;Středočeský kraj;424
CZ-25084;CZ;Česko;25084;Sluštice;Praha-východ;Středočeský kraj;328
CZ-25084;CZ;Česko;25084;Květnice;Praha-východ;Středočeský kraj;659
CZ-25084;CZ;Česko;25084;Křenice;Praha-východ;Středočeský kraj;424
CZ-25085;CZ;Česko;25085;Bašť;Praha-východ;Středočeský kraj;977
CZ-25087;CZ;Česko;25087;Vyšehořovice;Praha-východ;Středočeský kraj;244
CZ-25087;CZ;Česko;25087;Mochov;Praha-východ;Středočeský kraj;386
CZ-25088;CZ;Česko;25088;Čelákovice;Praha-východ;Středočeský kraj;2735
CZ-25089;CZ;Česko;25089;Lázně Toušeň;Praha-východ;Středočeský kraj;572
CZ-25090;CZ;Česko;25090;Jirny;Praha-východ;Středočeský kraj;1248
CZ-25091;CZ;Česko;25091;Jenštejn;Praha-východ;Středočeský kraj;72
CZ-25091;CZ;Česko;25091;Zeleneč;Praha-východ;Středočeský kraj;1046
CZ-25091;CZ;Česko;25091;Svémyslice;Praha-východ;Středočeský kraj;190
CZ-25092;CZ;Česko;25092;Šestajovice;Praha-východ;Středočeský kraj;1438
CZ-25101;CZ;Česko;25101;Herink;Praha-východ;Středočeský kraj;461
CZ-25101;CZ;Česko;25101;Modletice;Praha-východ;Středočeský kraj;150
CZ-25101;CZ;Česko;25101;Doubek;Praha-východ;Středočeský kraj;239
CZ-25101;CZ;Česko;25101;Popovičky;Praha-východ;Středočeský kraj;227
CZ-25101;CZ;Česko;25101;Březí;Praha-východ;Středočeský kraj;343
CZ-25101;CZ;Česko;25101;Nupaky;Praha-východ;Středočeský kraj;442
CZ-25101;CZ;Česko;25101;Světice;Praha-východ;Středočeský kraj;553
CZ-25101;CZ;Česko;25101;Babice;Praha-východ;Středočeský kraj;746
CZ-25101;CZ;Česko;25101;Čestlice;Praha-východ;Středočeský kraj;337
CZ-25101;CZ;Česko;25101;Tehov;Praha-východ;Středočeský kraj;592
CZ-25101;CZ;Česko;25101;Říčany;Praha-východ;Středočeský kraj;5059
CZ-25101;CZ;Česko;25101;Dobřejovice;Praha-východ;Středočeský kraj;428
CZ-25162;CZ;Česko;25162;Louňovice;Praha-východ;Středočeský kraj;779
CZ-25162;CZ;Česko;25162;Mukařov;Praha-východ;Středočeský kraj;1385
CZ-25162;CZ;Česko;25162;Svojetice;Praha-východ;Středočeský kraj;901
CZ-25162;CZ;Česko;25162;Tehovec;Praha-východ;Středočeský kraj;362
CZ-25163;CZ;Česko;25163;Všestary;Praha-východ;Středočeský kraj;512
CZ-25163;CZ;Česko;25163;Kunice;Praha-východ;Středočeský kraj;774
CZ-25163;CZ;Česko;25163;Strančice;Praha-východ;Středočeský kraj;1099
CZ-25164;CZ;Česko;25164;Klokočná;Praha-východ;Středočeský kraj;173
CZ-25164;CZ;Česko;25164;Kunice;Praha-východ;Středočeský kraj;106
CZ-25164;CZ;Česko;25164;Mnichovice;Praha-východ;Středočeský kraj;2207
CZ-25164;CZ;Česko;25164;Struhařov;Praha-východ;Středočeský kraj;587
CZ-25165;CZ;Česko;25165;Zvánovice;Praha-východ;Středočeský kraj;369
CZ-25165;CZ;Česko;25165;Kaliště;Praha-východ;Středočeský kraj;795
CZ-25165;CZ;Česko;25165;Ondřejov;Praha-východ;Středočeský kraj;1039
CZ-25166;CZ;Česko;25166;Senohraby;Praha-východ;Středočeský kraj;782
CZ-25166;CZ;Česko;25166;Ondřejov;Praha-východ;Středočeský kraj;81
CZ-25166;CZ;Česko;25166;Hrusice;Praha-východ;Středočeský kraj;676
CZ-25166;CZ;Česko;25166;Mirošovice;Praha-východ;Středočeský kraj;725
CZ-25167;CZ;Česko;25167;Pětihosty;Praha-východ;Středočeský kraj;142
CZ-25167;CZ;Česko;25167;Nespeky;Benešov;Středočeský kraj;3
CZ-25167;CZ;Česko;25167;Pyšely;Benešov;Středočeský kraj;1171
CZ-25167;CZ;Česko;25167;Řehenice;Benešov;Středočeský kraj;439
CZ-25168;CZ;Česko;25168;Sulice;Praha-východ;Středočeský kraj;985
CZ-25168;CZ;Česko;25168;Radějovice;Praha-východ;Středočeský kraj;317
