municipality;county;obec_kod;okres_kod;vusc_kod;okres_lau1;region_nuts3
Kamenec pod Vtáčnikom;Prievidza;514063;307;3;SK0227;SK022
Kanianka;Prievidza;514071;307;3;SK0227;SK022
Kocurany;Prievidza;514098;307;3;SK0227;SK022
Kostolná Ves;Prievidza;514101;307;3;SK0227;SK022
Koš;Prievidza;514110;307;3;SK0227;SK022
Kľačno;Prievidza;514080;307;3;SK0227;SK022
Lazany;Prievidza;514128;307;3;SK0227;SK022
Lehota pod Vtáčnikom;Prievidza;514136;307;3;SK0227;SK022
Liešťany;Prievidza;514144;307;3;SK0227;SK022
Lipník;Prievidza;557706;307;3;SK0227;SK022
Malinová;Prievidza;514187;307;3;SK0227;SK022
Malá Čausa;Prievidza;514179;307;3;SK0227;SK022
Nedožery-Brezany;Prievidza;514209;307;3;SK0227;SK022
Nevidzany;Prievidza;514217;307;3;SK0227;SK022
Nitrianske Pravno;Prievidza;514225;307;3;SK0227;SK022
Nitrianske Rudno;Prievidza;514233;307;3;SK0227;SK022
Nitrianske Sučany;Prievidza;514241;307;3;SK0227;SK022
Nitrica;Prievidza;514250;307;3;SK0227;SK022
Nováky;Prievidza;514268;307;3;SK0227;SK022
Opatovce nad Nitrou;Prievidza;514284;307;3;SK0227;SK022
Oslany;Prievidza;514292;307;3;SK0227;SK022
Podhradie;Prievidza;514306;307;3;SK0227;SK022
Poluvsie;Prievidza;514314;307;3;SK0227;SK022
Poruba;Prievidza;514322;307;3;SK0227;SK022
Pravenec;Prievidza;514331;307;3;SK0227;SK022
Prievidza;Prievidza;513881;307;3;SK0227;SK022
Radobica;Prievidza;514349;307;3;SK0227;SK022
Rudnianska Lehota;Prievidza;514365;307;3;SK0227;SK022
Ráztočno;Prievidza;514357;307;3;SK0227;SK022
Sebedražie;Prievidza;514373;307;3;SK0227;SK022
Seč;Prievidza;514381;307;3;SK0227;SK022
Temeš;Prievidza;514403;307;3;SK0227;SK022
Tužina;Prievidza;514411;307;3;SK0227;SK022
Valaská Belá;Prievidza;514420;307;3;SK0227;SK022
Veľká Čausa;Prievidza;514438;307;3;SK0227;SK022
Zemianske Kostoľany;Prievidza;514454;307;3;SK0227;SK022
Čavoj;Prievidza;513938;307;3;SK0227;SK022
Čereňany;Prievidza;513946;307;3;SK0227;SK022
Šútovce;Prievidza;514390;307;3;SK0227;SK022
Beluša;Púchov;512851;308;3;SK0228;SK022
Dohňany;Púchov;512940;308;3;SK0228;SK022
Dolná Breznica;Púchov;512958;308;3;SK0228;SK022
Dolné Kočkovce;Púchov;557439;308;3;SK0228;SK022
Horná Breznica;Púchov;557692;308;3;SK0228;SK022
Horovce;Púchov;513121;308;3;SK0228;SK022
Kvašov;Púchov;557501;308;3;SK0228;SK022
Lazy pod Makytou;Púchov;513300;308;3;SK0228;SK022
Lednica;Púchov;513318;308;3;SK0228;SK022
Lednické Rovne;Púchov;513326;308;3;SK0228;SK022
Lysá pod Makytou;Púchov;513342;308;3;SK0228;SK022
Lúky;Púchov;513334;308;3;SK0228;SK022
Mestečko;Púchov;513377;308;3;SK0228;SK022
Mojtín;Púchov;513407;308;3;SK0228;SK022
Nimnica;Púchov;557447;308;3;SK0228;SK022
Púchov;Púchov;513610;308;3;SK0228;SK022
Streženice;Púchov;557471;308;3;SK0228;SK022
Visolaje;Púchov;513776;308;3;SK0228;SK022
Vydrná;Púchov;557498;308;3;SK0228;SK022
Zubák;Púchov;500348;308;3;SK0228;SK022
Záriečie;Púchov;513814;308;3;SK0228;SK022
Chvalová;Revúca;514977;608;6;SK0328;SK032
Chyžné;Revúca;525774;608;6;SK0328;SK032
Držkovce;Revúca;514675;608;6;SK0328;SK032
Gemer;Revúca;514721;608;6;SK0328;SK032
Gemerská Ves;Revúca;514756;608;6;SK0328;SK032
Gemerské Teplice;Revúca;525677;608;6;SK0328;SK032
Gemerský Sad;Revúca;525685;608;6;SK0328;SK032
Hrlica;Revúca;514896;608;6;SK0328;SK032
Hucín;Revúca;525766;608;6;SK0328;SK032
Jelšava;Revúca;525791;608;6;SK0328;SK032
Kameňany;Revúca;525812;608;6;SK0328;SK032
Levkuška;Revúca;515159;608;6;SK0328;SK032
Leváre;Revúca;515574;608;6;SK0328;SK032
Licince;Revúca;525901;608;6;SK0328;SK032
Lubeník;Revúca;525928;608;6;SK0328;SK032
Magnezitovce;Revúca;525944;608;6;SK0328;SK032
Mokrá Lúka;Revúca;580384;608;6;SK0328;SK032
Muránska Dlhá Lúka;Revúca;525995;608;6;SK0328;SK032
Muránska Huta;Revúca;526002;608;6;SK0328;SK032
Muránska Lehota;Revúca;526011;608;6;SK0328;SK032
Muránska Zdychava;Revúca;526029;608;6;SK0328;SK032
Muráň;Revúca;525987;608;6;SK0328;SK032
Nandraž;Revúca;526037;608;6;SK0328;SK032
Otročok;Revúca;515256;608;6;SK0328;SK032
Ploské;Revúca;515302;608;6;SK0328;SK032
Polina;Revúca;515311;608;6;SK0328;SK032
Prihradzany;Revúca;526100;608;6;SK0328;SK032
Ratkovské Bystré;Revúca;515400;608;6;SK0328;SK032
Ratková;Revúca;515370;608;6;SK0328;SK032
Rašice;Revúca;515361;608;6;SK0328;SK032
Revúca;Revúca;526142;608;6;SK0328;SK032
Revúcka Lehota;Revúca;526151;608;6;SK0328;SK032
Rybník;Revúca;515507;608;6;SK0328;SK032
Rákoš;Revúca;526118;608;6;SK0328;SK032
Sirk;Revúca;526258;608;6;SK0328;SK032
Skerešovo;Revúca;515523;608;6;SK0328;SK032
Sása;Revúca;557820;608;6;SK0328;SK032
Tornaľa;Revúca;515612;608;6;SK0328;SK032
Turčok;Revúca;526321;608;6;SK0328;SK032
Višňové;Revúca;515761;608;6;SK0328;SK032
Šivetice;Revúca;526304;608;6;SK0328;SK032
Žiar;Revúca;515833;608;6;SK0328;SK032
Abovce;Rimavská Sobota;557757;609;6;SK0329;SK032
Babinec;Rimavská Sobota;514489;609;6;SK0329;SK032
Barca;Rimavská Sobota;514501;609;6;SK0329;SK032
Belín;Rimavská Sobota;514535;609;6;SK0329;SK032
Blhovce;Rimavská Sobota;514543;609;6;SK0329;SK032
Bottovo;Rimavská Sobota;514551;609;6;SK0329;SK032
Budikovany;Rimavská Sobota;514586;609;6;SK0329;SK032
Bátka;Rimavská Sobota;514519;609;6;SK0329;SK032
Cakov;Rimavská Sobota;514594;609;6;SK0329;SK032
Chanava;Rimavská Sobota;514951;609;6;SK0329;SK032
Chrámec;Rimavská Sobota;514969;609;6;SK0329;SK032
Dolné Zahorany;Rimavská Sobota;514632;609;6;SK0329;SK032
Dražice;Rimavská Sobota;514641;609;6;SK0329;SK032
Drienčany;Rimavská Sobota;514659;609;6;SK0329;SK032
Drňa;Rimavská Sobota;514667;609;6;SK0329;SK032
Dubno;Rimavská Sobota;514683;609;6;SK0329;SK032
Dubovec;Rimavská Sobota;514691;609;6;SK0329;SK032
Dulovo;Rimavská Sobota;557919;609;6;SK0329;SK032
Figa;Rimavská Sobota;514713;609;6;SK0329;SK032
Gemerské Dechtáre;Rimavská Sobota;514764;609;6;SK0329;SK032
Gemerské Michalovce;Rimavská Sobota;557889;609;6;SK0329;SK032
Gemerský Jablonec;Rimavská Sobota;514781;609;6;SK0329;SK032
Gemerček;Rimavská Sobota;514730;609;6;SK0329;SK032
Gortva;Rimavská Sobota;514799;609;6;SK0329;SK032
Hajnáčka;Rimavská Sobota;514811;609;6;SK0329;SK032
Hnúšťa;Rimavská Sobota;514829;609;6;SK0329;SK032
Hodejov;Rimavská Sobota;514837;609;6;SK0329;SK032
Hodejovec;Rimavská Sobota;514845;609;6;SK0329;SK032
Horné Zahorany;Rimavská Sobota;514853;609;6;SK0329;SK032
Hostice;Rimavská Sobota;514861;609;6;SK0329;SK032
Hostišovce;Rimavská Sobota;514870;609;6;SK0329;SK032
Hrachovo;Rimavská Sobota;514888;609;6;SK0329;SK032
Hrušovo;Rimavská Sobota;514926;609;6;SK0329;SK032
Hubovo;Rimavská Sobota;514934;609;6;SK0329;SK032
Husiná;Rimavská Sobota;514942;609;6;SK0329;SK032
Ivanice;Rimavská Sobota;514985;609;6;SK0329;SK032
Janice;Rimavská Sobota;514993;609;6;SK0329;SK032
Jesenské;Rimavská Sobota;515001;609;6;SK0329;SK032
Jestice;Rimavská Sobota;515019;609;6;SK0329;SK032
Kaloša;Rimavská Sobota;515027;609;6;SK0329;SK032
Kesovce;Rimavská Sobota;515035;609;6;SK0329;SK032
Klenovec;Rimavská Sobota;515043;609;6;SK0329;SK032
Kociha;Rimavská Sobota;515051;609;6;SK0329;SK032
Konrádovce;Rimavská Sobota;515060;609;6;SK0329;SK032
Kraskovo;Rimavská Sobota;515086;609;6;SK0329;SK032
Krokava;Rimavská Sobota;515094;609;6;SK0329;SK032
Kružno;Rimavská Sobota;515108;609;6;SK0329;SK032
Kráľ;Rimavská Sobota;515078;609;6;SK0329;SK032
Kyjatice;Rimavská Sobota;515116;609;6;SK0329;SK032
Lehota nad Rimavicou;Rimavská Sobota;515124;609;6;SK0329;SK032
Lenartovce;Rimavská Sobota;515132;609;6;SK0329;SK032
Lenka;Rimavská Sobota;515141;609;6;SK0329;SK032
Lipovec;Rimavská Sobota;515167;609;6;SK0329;SK032
Lukovištia;Rimavská Sobota;515175;609;6;SK0329;SK032
Martinová;Rimavská Sobota;515183;609;6;SK0329;SK032
Neporadza;Rimavská Sobota;515205;609;6;SK0329;SK032
Nižný Skálnik;Rimavská Sobota;557790;609;6;SK0329;SK032
Nová Bašta;Rimavská Sobota;515230;609;6;SK0329;SK032
Orávka;Rimavská Sobota;515248;609;6;SK0329;SK032
Ožďany;Rimavská Sobota;515264;609;6;SK0329;SK032
Padarovce;Rimavská Sobota;515272;609;6;SK0329;SK032
Pavlovce;Rimavská Sobota;515281;609;6;SK0329;SK032
Petrovce;Rimavská Sobota;515299;609;6;SK0329;SK032
Poproč;Rimavská Sobota;515337;609;6;SK0329;SK032
Potok;Rimavská Sobota;515345;609;6;SK0329;SK032
Radnovce;Rimavská Sobota;515353;609;6;SK0329;SK032
Rakytník;Rimavská Sobota;557854;609;6;SK0329;SK032
Ratkovská Lehota;Rimavská Sobota;515388;609;6;SK0329;SK032
Ratkovská Suchá;Rimavská Sobota;515396;609;6;SK0329;SK032
Riečka;Rimavská Sobota;557765;609;6;SK0329;SK032
Rimavská Baňa;Rimavská Sobota;515426;609;6;SK0329;SK032
Rimavská Seč;Rimavská Sobota;515442;609;6;SK0329;SK032
Rimavská Sobota;Rimavská Sobota;514462;609;6;SK0329;SK032
Rimavské Brezovo;Rimavská Sobota;515451;609;6;SK0329;SK032
Rimavské Janovce;Rimavská Sobota;515469;609;6;SK0329;SK032
Rimavské Zalužany;Rimavská Sobota;557811;609;6;SK0329;SK032
Rovné;Rimavská Sobota;515485;609;6;SK0329;SK032
Rumince;Rimavská Sobota;515493;609;6;SK0329;SK032
Slizké;Rimavská Sobota;515531;609;6;SK0329;SK032
Stará Bašta;Rimavská Sobota;515540;609;6;SK0329;SK032
Stránska;Rimavská Sobota;515566;609;6;SK0329;SK032
Studená;Rimavská Sobota;515582;609;6;SK0329;SK032
Sútor;Rimavská Sobota;515604;609;6;SK0329;SK032
Tachty;Rimavská Sobota;515663;609;6;SK0329;SK032
Teplý Vrch;Rimavská Sobota;515671;609;6;SK0329;SK032
Tisovec;Rimavská Sobota;515680;609;6;SK0329;SK032
Tomášovce;Rimavská Sobota;515698;609;6;SK0329;SK032
Uzovská Panica;Rimavská Sobota;515701;609;6;SK0329;SK032
Valice;Rimavská Sobota;515795;609;6;SK0329;SK032
Večelkov;Rimavská Sobota;515728;609;6;SK0329;SK032
Veľké Teriakovce;Rimavská Sobota;515736;609;6;SK0329;SK032
Veľký Blh;Rimavská Sobota;515744;609;6;SK0329;SK032
Vieska nad Blhom;Rimavská Sobota;515752;609;6;SK0329;SK032
Vlkyňa;Rimavská Sobota;515779;609;6;SK0329;SK032
Vyšné Valice;Rimavská Sobota;557901;609;6;SK0329;SK032
Vyšný Skálnik;Rimavská Sobota;515809;609;6;SK0329;SK032
Včelince;Rimavská Sobota;515710;609;6;SK0329;SK032
Zacharovce;Rimavská Sobota;557927;609;6;SK0329;SK032
Zádor;Rimavská Sobota;515817;609;6;SK0329;SK032
Čerenčany;Rimavská Sobota;514608;609;6;SK0329;SK032
Čierny Potok;Rimavská Sobota;514616;609;6;SK0329;SK032
Číž;Rimavská Sobota;514624;609;6;SK0329;SK032
Šimonovce;Rimavská Sobota;515621;609;6;SK0329;SK032
Širkovce;Rimavská Sobota;515639;609;6;SK0329;SK032
Španie Pole;Rimavská Sobota;515647;609;6;SK0329;SK032
Štrkovec;Rimavská Sobota;515655;609;6;SK0329;SK032
Žíp;Rimavská Sobota;515841;609;6;SK0329;SK032
Ardovo;Rožňava;525537;808;8;SK0428;SK042
Betliar;Rožňava;525545;808;8;SK0428;SK042
Bohúňovo;Rožňava;525553;808;8;SK0428;SK042
Brdárka;Rožňava;525570;808;8;SK0428;SK042
Bretka;Rožňava;514578;808;8;SK0428;SK042
Brzotín;Rožňava;560022;808;8;SK0428;SK042
Bôrka;Rožňava;525561;808;8;SK0428;SK042
Dedinky;Rožňava;525618;808;8;SK0428;SK042
Dlhá Ves;Rožňava;525626;808;8;SK0428;SK042
Dobšiná;Rožňava;525634;808;8;SK0428;SK042
Drnava;Rožňava;525642;808;8;SK0428;SK042
Gemerská Hôrka;Rožňava;525651;808;8;SK0428;SK042
Gemerská Panica;Rožňava;514748;808;8;SK0428;SK042
Gemerská Poloma;Rožňava;525669;808;8;SK0428;SK042
Gočaltovo;Rožňava;525693;808;8;SK0428;SK042
Gočovo;Rožňava;525707;808;8;SK0428;SK042
Hanková;Rožňava;525715;808;8;SK0428;SK042
Henckovce;Rožňava;525723;808;8;SK0428;SK042
Honce;Rožňava;525731;808;8;SK0428;SK042
Hrhov;Rožňava;525740;808;8;SK0428;SK042
Hrušov;Rožňava;525758;808;8;SK0428;SK042
Jablonov nad Turňou;Rožňava;525782;808;8;SK0428;SK042
Jovice;Rožňava;560049;808;8;SK0428;SK042
Kečovo;Rožňava;525821;808;8;SK0428;SK042
Kobeliarovo;Rožňava;525839;808;8;SK0428;SK042
Koceľovce;Rožňava;525847;808;8;SK0428;SK042
Kováčová;Rožňava;525855;808;8;SK0428;SK042
Kružná;Rožňava;560065;808;8;SK0428;SK042
Krásnohorská Dlhá Lúka;Rožňava;525863;808;8;SK0428;SK042
Krásnohorské Podhradie;Rožňava;525871;808;8;SK0428;SK042
Kunova Teplica;Rožňava;525898;808;8;SK0428;SK042
Lipovník;Rožňava;525910;808;8;SK0428;SK042
Lúčka;Rožňava;525936;808;8;SK0428;SK042
Markuška;Rožňava;525952;808;8;SK0428;SK042
Meliata;Rožňava;525961;808;8;SK0428;SK042
Nižná Slaná;Rožňava;526045;808;8;SK0428;SK042
Ochtiná;Rožňava;526053;808;8;SK0428;SK042
Pača;Rožňava;526061;808;8;SK0428;SK042
Pašková;Rožňava;526070;808;8;SK0428;SK042
Petrovo;Rožňava;526088;808;8;SK0428;SK042
Plešivec;Rožňava;526096;808;8;SK0428;SK042
Rakovnica;Rožňava;526126;808;8;SK0428;SK042
Rejdová;Rožňava;526134;808;8;SK0428;SK042
Rochovce;Rožňava;526177;808;8;SK0428;SK042
Rozložná;Rožňava;526193;808;8;SK0428;SK042
Roštár;Rožňava;526185;808;8;SK0428;SK042
Rožňava;Rožňava;525529;808;8;SK0428;SK042
Rožňavské Bystré;Rožňava;526207;808;8;SK0428;SK042
Rudná;Rožňava;526215;808;8;SK0428;SK042
Silica;Rožňava;526223;808;8;SK0428;SK042
Silická Brezová;Rožňava;526231;808;8;SK0428;SK042
Silická Jablonica;Rožňava;526240;808;8;SK0428;SK042
Slavec;Rožňava;526266;808;8;SK0428;SK042
Slavoška;Rožňava;526274;808;8;SK0428;SK042
Slavošovce;Rožňava;526282;808;8;SK0428;SK042
Stratená;Rožňava;526291;808;8;SK0428;SK042
Vlachovo;Rožňava;526339;808;8;SK0428;SK042
Vyšná Slaná;Rožňava;526347;808;8;SK0428;SK042
Čierna Lehota;Rožňava;525596;808;8;SK0428;SK042
Čoltovo;Rožňava;525600;808;8;SK0428;SK042
Čučma;Rožňava;560031;808;8;SK0428;SK042
Štítnik;Rožňava;526312;808;8;SK0428;SK042
Bešeňová;Ružomberok;510301;508;5;SK0318;SK031
Hubová;Ružomberok;510441;508;5;SK0318;SK031
Ivachnová;Ružomberok;507300;508;5;SK0318;SK031
Kalameny;Ružomberok;510530;508;5;SK0318;SK031
Komjatná;Ružomberok;510548;508;5;SK0318;SK031
Likavka;Ružomberok;510599;508;5;SK0318;SK031
Liptovská Lúžna;Ružomberok;510629;508;5;SK0318;SK031
Liptovská Osada;Ružomberok;510637;508;5;SK0318;SK031
Liptovská Teplá;Ružomberok;510670;508;5;SK0318;SK031
Liptovská Štiavnica;Ružomberok;510661;508;5;SK0318;SK031
Liptovské Revúce;Ružomberok;510718;508;5;SK0318;SK031
Liptovské Sliače;Ružomberok;511005;508;5;SK0318;SK031
Liptovský Michal;Ružomberok;510742;508;5;SK0318;SK031
Lisková;Ružomberok;510785;508;5;SK0318;SK031
Ludrová;Ružomberok;510823;508;5;SK0318;SK031
Lúčky;Ružomberok;510815;508;5;SK0318;SK031
Martinček;Ružomberok;510866;508;5;SK0318;SK031
Potok;Ružomberok;510955;508;5;SK0318;SK031
Ružomberok;Ružomberok;510998;508;5;SK0318;SK031
Stankovany;Ružomberok;511030;508;5;SK0318;SK031
Turík;Ružomberok;507407;508;5;SK0318;SK031
Valaská Dubová;Ružomberok;511102;508;5;SK0318;SK031
Ľubochňa;Ružomberok;510807;508;5;SK0318;SK031
Štiavnička;Ružomberok;511056;508;5;SK0318;SK031
Švošov;Ružomberok;511064;508;5;SK0318;SK031
Bajerovce;Sabinov;524182;708;7;SK0418;SK041
Bodovce;Sabinov;524204;708;7;SK0418;SK041
Brezovica;Sabinov;524239;708;7;SK0418;SK041
Brezovička;Sabinov;524247;708;7;SK0418;SK041
Daletice;Sabinov;524328;708;7;SK0418;SK041
Drienica;Sabinov;524344;708;7;SK0418;SK041
Dubovica;Sabinov;524379;708;7;SK0418;SK041
Hanigovce;Sabinov;524441;708;7;SK0418;SK041
Hubošovce;Sabinov;524492;708;7;SK0418;SK041
Jakovany;Sabinov;524557;708;7;SK0418;SK041
Jakubova Voľa;Sabinov;524565;708;7;SK0418;SK041
Jakubovany;Sabinov;524573;708;7;SK0418;SK041
Jarovnice;Sabinov;524603;708;7;SK0418;SK041
Kamenica;Sabinov;524611;708;7;SK0418;SK041
Krivany;Sabinov;524689;708;7;SK0418;SK041
Krásna Lúka;Sabinov;524671;708;7;SK0418;SK041
Lipany;Sabinov;524778;708;7;SK0418;SK041
Lúčka;Sabinov;524816;708;7;SK0418;SK041
Milpoš;Sabinov;524875;708;7;SK0418;SK041
Nižný Slavkov;Sabinov;524921;708;7;SK0418;SK041
Olejníkov;Sabinov;524948;708;7;SK0418;SK041
Ostrovany;Sabinov;524981;708;7;SK0418;SK041
Oľšov;Sabinov;524956;708;7;SK0418;SK041
Pečovská Nová Ves;Sabinov;525006;708;7;SK0418;SK041
Poloma;Sabinov;525049;708;7;SK0418;SK041
Ratvaj;Sabinov;525081;708;7;SK0418;SK041
Ražňany;Sabinov;525090;708;7;SK0418;SK041
Renčišov;Sabinov;525103;708;7;SK0418;SK041
Rožkovany;Sabinov;525120;708;7;SK0418;SK041
Sabinov;Sabinov;525146;708;7;SK0418;SK041
Tichý Potok;Sabinov;525308;708;7;SK0418;SK041
Torysa;Sabinov;525316;708;7;SK0418;SK041
Uzovce;Sabinov;525359;708;7;SK0418;SK041
Uzovské Pekľany;Sabinov;525367;708;7;SK0418;SK041
Uzovský Šalgov;Sabinov;525375;708;7;SK0418;SK041
Vysoká;Sabinov;525421;708;7;SK0418;SK041
Červenica pri Sabinove;Sabinov;524298;708;7;SK0418;SK041
Červená Voda;Sabinov;524280;708;7;SK0418;SK041
Ďačov;Sabinov;524310;708;7;SK0418;SK041
Ľutina;Sabinov;524824;708;7;SK0418;SK041
Šarišské Dravce;Sabinov;525219;708;7;SK0418;SK041
Šarišské Michaľany;Sabinov;525235;708;7;SK0418;SK041
Šarišské Sokolovce;Sabinov;525243;708;7;SK0418;SK041
Bernolákovo;Senec;507814;108;1;SK0108;SK010
Blatné;Senec;507822;108;1;SK0108;SK010
Boldog;Senec;503681;108;1;SK0108;SK010
Chorvátsky Grob;Senec;507911;108;1;SK0108;SK010
Dunajská Lužná;Senec;545333;108;1;SK0108;SK010
Hamuliakovo;Senec;507903;108;1;SK0108;SK010
Hrubá Borša;Senec;503797;108;1;SK0108;SK010
Hrubý Šúr;Senec;503801;108;1;SK0108;SK010
Hurbanova Ves;Senec;503819;108;1;SK0108;SK010
Igram;Senec;555487;108;1;SK0108;SK010
Ivanka pri Dunaji;Senec;507938;108;1;SK0108;SK010
Kalinkovo;Senec;507997;108;1;SK0108;SK010
Kaplna;Senec;555495;108;1;SK0108;SK010
Kostolná pri Dunaji;Senec;503851;108;1;SK0108;SK010
Kráľová pri Senci;Senec;503894;108;1;SK0108;SK010
Malinovo;Senec;508071;108;1;SK0108;SK010
Miloslavov;Senec;508098;108;1;SK0108;SK010
Most pri Bratislave;Senec;508110;108;1;SK0108;SK010
Nová Dedinka;Senec;508136;108;1;SK0108;SK010
Nový Svet;Senec;582549;108;1;SK0108;SK010
Reca;Senec;503983;108;1;SK0108;SK010
Rovinka;Senec;508209;108;1;SK0108;SK010
Senec;Senec;508217;108;1;SK0108;SK010
Tomášov;Senec;508276;108;1;SK0108;SK010
Tureň;Senec;508284;108;1;SK0108;SK010
Veľký Biel;Senec;508292;108;1;SK0108;SK010
Vlky;Senec;508331;108;1;SK0108;SK010
Zálesie;Senec;555509;108;1;SK0108;SK010
Čataj;Senec;507865;108;1;SK0108;SK010
Borský Mikuláš;Senica;504238;205;2;SK0215;SK021
Borský Svätý Jur;Senica;504220;205;2;SK0215;SK021
Bílkove Humence;Senica;504211;205;2;SK0215;SK021
Cerová;Senica;504297;205;2;SK0215;SK021
Dojč;Senica;504335;205;2;SK0215;SK021
Hlboké;Senica;504360;205;2;SK0215;SK021
Hradište pod Vrátnom;Senica;504386;205;2;SK0215;SK021
Jablonica;Senica;504416;205;2;SK0215;SK021
Koválov;Senica;504475;205;2;SK0215;SK021
Kuklov;Senica;504491;205;2;SK0215;SK021
Kúty;Senica;504513;205;2;SK0215;SK021
Lakšárska Nová Ves;Senica;504521;205;2;SK0215;SK021
Moravský Svätý Ján;Senica;504572;205;2;SK0215;SK021
Osuské;Senica;504602;205;2;SK0215;SK021
Plavecký Peter;Senica;504645;205;2;SK0215;SK021
Podbranč;Senica;504653;205;2;SK0215;SK021
Prietrž;Senica;504700;205;2;SK0215;SK021
Prievaly;Senica;504726;205;2;SK0215;SK021
Rohov;Senica;556122;205;2;SK0215;SK021
Rovensko;Senica;504777;205;2;SK0215;SK021
Rybky;Senica;556131;205;2;SK0215;SK021
Sekule;Senica;556114;205;2;SK0215;SK021
Senica;Senica;504203;205;2;SK0215;SK021
Smolinské;Senica;504823;205;2;SK0215;SK021
Smrdáky;Senica;504831;205;2;SK0215;SK021
Sobotište;Senica;504840;205;2;SK0215;SK021
Častkov;Senica;504327;205;2;SK0215;SK021
Čáry;Senica;504319;205;2;SK0215;SK021
Šajdíkove Humence;Senica;504882;205;2;SK0215;SK021
Šaštín-Stráže;Senica;504891;205;2;SK0215;SK021
Štefanov;Senica;504904;205;2;SK0215;SK021
Brodské;Skalica;504271;206;2;SK0216;SK021
Chropov;Skalica;504394;206;2;SK0216;SK021
Dubovce;Skalica;504343;206;2;SK0216;SK021
Gbely;Skalica;504351;206;2;SK0216;SK021
Holíč;Skalica;504378;206;2;SK0216;SK021
Kopčany;Skalica;504459;206;2;SK0216;SK021
Koválovec;Skalica;504483;206;2;SK0216;SK021
Kátov;Skalica;504432;206;2;SK0216;SK021
Letničie;Skalica;504530;206;2;SK0216;SK021
Lopašov;Skalica;504548;206;2;SK0216;SK021
Mokrý Háj;Skalica;504564;206;2;SK0216;SK021
Oreské;Skalica;504599;206;2;SK0216;SK021
Petrova Ves;Skalica;504611;206;2;SK0216;SK021
Popudinské Močidľany;Skalica;504670;206;2;SK0216;SK021
Prietržka;Skalica;504718;206;2;SK0216;SK021
Radimov;Skalica;504734;206;2;SK0216;SK021
Radošovce;Skalica;504742;206;2;SK0216;SK021
Skalica;Skalica;504815;206;2;SK0216;SK021
Trnovec;Skalica;504912;206;2;SK0216;SK021
Unín;Skalica;504939;206;2;SK0216;SK021
Vrádište;Skalica;504963;206;2;SK0216;SK021
Belá nad Cirochou;Snina;520039;709;7;SK0419;SK041
Brezovec;Snina;520080;709;7;SK0419;SK041
Dlhé nad Cirochou;Snina;520161;709;7;SK0419;SK041
Dúbrava;Snina;520179;709;7;SK0419;SK041
Hostovice;Snina;520209;709;7;SK0419;SK041
Hrabová Roztoka;Snina;520217;709;7;SK0419;SK041
Jalová;Snina;520284;709;7;SK0419;SK041
Kalná Roztoka;Snina;520322;709;7;SK0419;SK041
Klenová;Snina;520365;709;7;SK0419;SK041
Kolbasov;Snina;520381;709;7;SK0419;SK041
Kolonica;Snina;520390;709;7;SK0419;SK041
Ladomirov;Snina;520438;709;7;SK0419;SK041
Michajlov;Snina;520489;709;7;SK0419;SK041
Nová Sedlica;Snina;520551;709;7;SK0419;SK041
Osadné;Snina;520594;709;7;SK0419;SK041
Parihuzovce;Snina;520632;709;7;SK0419;SK041
Pichne;Snina;520659;709;7;SK0419;SK041
Príslop;Snina;520675;709;7;SK0419;SK041
Pčoliné;Snina;520641;709;7;SK0419;SK041
Runina;Snina;520730;709;7;SK0419;SK041
Ruská Volová;Snina;520748;709;7;SK0419;SK041
Ruský Potok;Snina;520764;709;7;SK0419;SK041
Snina;Snina;520802;709;7;SK0419;SK041
Stakčín;Snina;520829;709;7;SK0419;SK041
Stakčínska Roztoka;Snina;520811;709;7;SK0419;SK041
Strihovce;Snina;520845;709;7;SK0419;SK041
Topoľa;Snina;520888;709;7;SK0419;SK041
Ubľa;Snina;520918;709;7;SK0419;SK041
Ulič;Snina;520934;709;7;SK0419;SK041
Uličské Krivé;Snina;520942;709;7;SK0419;SK041
Zboj;Snina;521051;709;7;SK0419;SK041
Zemplínske Hámre;Snina;521108;709;7;SK0419;SK041
Čukalovce;Snina;520136;709;7;SK0419;SK041
Šmigovec;Snina;520870;709;7;SK0419;SK041
Baškovce;Sobrance;522309;809;8;SK0429;SK042
Beňatina;Sobrance;522317;809;8;SK0429;SK042
Bežovce;Sobrance;522325;809;8;SK0429;SK042
Blatná Polianka;Sobrance;522333;809;8;SK0429;SK042
Blatné Remety;Sobrance;522341;809;8;SK0429;SK042
Blatné Revištia;Sobrance;522350;809;8;SK0429;SK042
Bunkovce;Sobrance;522384;809;8;SK0429;SK042
Choňkovce;Sobrance;522503;809;8;SK0429;SK042
Fekišovce;Sobrance;522422;809;8;SK0429;SK042
Hlivištia;Sobrance;522457;809;8;SK0429;SK042
Horňa;Sobrance;522473;809;8;SK0429;SK042
Husák;Sobrance;522490;809;8;SK0429;SK042
Inovce;Sobrance;522520;809;8;SK0429;SK042
Jasenov;Sobrance;522538;809;8;SK0429;SK042
Jenkovce;Sobrance;522554;809;8;SK0429;SK042
Kolibabovce;Sobrance;522601;809;8;SK0429;SK042
Koromľa;Sobrance;522643;809;8;SK0429;SK042
Koňuš;Sobrance;522627;809;8;SK0429;SK042
Kristy;Sobrance;522678;809;8;SK0429;SK042
Krčava;Sobrance;522660;809;8;SK0429;SK042
Lekárovce;Sobrance;522716;809;8;SK0429;SK042
Nižná Rybnica;Sobrance;522813;809;8;SK0429;SK042
